transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status
0x0f3d1a7ac9a722d91e7c9c7433f10cb57396be70c6f514c69528eb0ff76eff68,0,0x4e436656f8c9bba750c488b3c6644acf525eb107adf1bc207c79383656517c62,104,21000,21000,,,1
0x198d2569707ce036f2cebeb394cf8fe52034faed1d4b11b8768f5f1dfd3b68c0,0,0x5f90bd295acc1559b08a9c60bc3f27988a3ea3adaf2279b2b6a8545809a9238e,219,337519,337519,0xb6f97f36f6d8797814ec214c85432461fae41eb8,,1
0x0b29f9f403939a88179c1ec0623c5503a72da31c8614a591450639be5036b829,0,0xf596fa7b8978830ddea0ac30f511e5e8aa253405a5d02474a2ce92081f810459,109,21000,21000,,,1
0x3280ad8a2a0d6d86d58599ca886b62511f69392ecee6a083f9141abba53ff918,0,0x302d4d688383092bf953c8f1eb9d38ac733fc93af712bfeb3545298ac8e51418,227,337519,337519,0xebc32ae4422310e73d48b73aee26d7752b1df5a9,,1
0xb34781ee70aa37b40d714b140c462ca5e5387137e1cd59bd462d35dab4b9a809,0,0x1ff529be7b958181ce8047c047468c736e85ff0a82be32606b6d6bc05324bce6,125,21000,21000,,,1
0x0e02eff263cb7b4b32d9a10f8e7c03a04292d2e70ff5f98876918b3036928b5a,0,0x991a2c3c409b9262dae0feb6070eec7491559689a92dbc5f9e1db2ffda4ddd85,27,21000,21000,,,1
0x374619c169d4ecd4848e1e1167bb21cc0f42586064f36a130641e18c499ee7b2,0,0xc09ff25eee408f254d2a0e3b57ea0e6ba6ac988fb243b3db171d709cbba6541d,138,21000,21000,,,1
0x5ffdea8f0e00ae270c575cb6a7fb669562c0853ab6bf9f6ad3a19768168e8172,0,0xc2f3607908f7c4d68f17d246ef822a0ad7711a342441fd648a19cf3fc20eece9,145,21000,21000,,,1
0x566c4310c1cdbcc6c1de03a27e3321aab9df05f311f29fa14ffe9f8779f3b222,0,0x11b5a5fd8b0f80e159fd8207336ddc431027a55512fbb2ea55b1fb3e5da37faf,158,21000,21000,,,1
0xa30f884e825feb372da7c85646605a6b2df63003e4a2b6ffa51ef5bece9d99db,0,0x2d3657896946b0039a410679b7118879d730bf9c1f3632b7da61950034b80a85,60,21000,21000,,,1
